tau,bt,hh,RGIId,GLIMSId,CenLon,CenLat,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,TermType,Surging,Linkages,Name,delz,Zela,abl_area,accu_area,hf_method,hf
38.52093972836927,-1.3116273996509598,24.91787011830534,RGI60-01.00482,G215439E63489N,-144.561233521,63.489479065,2,1.434,1815,2469,2064,21.0,360,1946,0,9,9,,654,2000,0.5736,0.8603999999999999,hf_millan,50.52512000803233
45.785059193999565,-1.2407286212914486,32.05915172849031,RGI60-01.00491,G215459E63424N,-144.541,63.424,2,1.632,1525,2198,1747,15.0,196,3562,0,9,9,,673,1700,0.6528,0.9791999999999998,hf_millan,56.80683336951844
39.996147116152784,-1.3683464223385688,22.835626252695253,RGI60-01.00522,G215267E63260N,-144.733,63.26,2,1.795,1757,2427,2031,20.0,185,2155,0,9,9,,670,1950,0.718,1.077,hf_millan,54.728584813714725
26.375216572363726,-2.112783595113438,76.95544884813263,RGI60-01.00524,G215273E63273N,-144.727,63.273,2,1.415,1802,2617,2142,28.0,7,1337,0,9,9,,815,2100,0.5660000000000001,0.849,hf_millan,55.72512489165416
20.502667294949457,-2.2971204188481673,-23.02139429280751,RGI60-01.00526,G215231E63263N,-144.76890564,63.263278961,2,1.52,1626,2610,2030,24.0,225,2321,0,9,9,,984,1950,0.6080000000000001,0.9119999999999999,hf_millan,47.09709568407892
26.656327612029592,-1.694480802792321,22.835626252695253,RGI60-01.00536,G214621E63448N,-145.379,63.448,2,1.872,1711,2465,2032,20.0,60,2013,0,9,9,,754,1950,0.7488000000000001,1.1232,hf_millan,45.16863541152702
24.376032000731133,-2.013525305410122,-24.636225304812815,RGI60-01.00537,G214627E63466N,-145.373,63.466,2,2.113,1716,2641,2058,23.0,56,2585,0,9,9,,925,2000,0.8452000000000001,1.2678,hf_millan,49.08175727895907
19.956418780659412,-4.792757417102967,-2355.321213031299,RGI60-01.00544,G215119E63352N,-144.881,63.352,2,15.172,1074,2869,1903,22.0,354,9783,0,9,9,,1795,1750,6.0688,9.1032,hf_millan,95.64627412981835
25.394056615818073,-1.8646378708551483,-24.636225304812815,RGI60-01.00547,G214738E63445N,-145.262,63.445,2,1.517,1837,2770,2194,23.0,91,2246,0,9,9,,933,2100,0.6068,0.9101999999999999,hf_millan,47.35071966049411
31.328810825760506,-1.5385034904013961,24.91787011830534,RGI60-01.00548,G214746E63456N,-145.254,63.456,2,1.437,1933,2614,2214,21.0,78,1897,0,9,9,,681,2150,0.5748000000000001,0.8622,hf_millan,48.19948480555758
0.006381896874893446,-3.7930846422338567,39.40343746206035,RGI60-01.00555,G214608E63554N,-145.392,63.554,2,1.411,1465,2697,2154,34.0,21,2098,0,9,9,,1232,2000,0.5644,0.8466,hf_millan,0.024207075024478573
29.845220917636503,-8.635471204188482,-72.41207491556126,RGI60-01.00556,G214547E63489N,-145.453186035,63.489044189,2,83.953,782,3020,2075,16.0,26,24830,0,9,9,Gerstle Glacier,2238,2000,33.5812,50.3718,hf_millan,257.7275458168938
