case,RGIId,Name,Area,bt,hf,tau,feq,feq_linear,feq_gwi,feq_etcw,Zmin,Zmax,Zela,Lmax,aar,hyps_ela,hyps_aar
0.6,RGI60-01.16337,,1.895,-1.425065445026178,63.38416302570044,44.47807168921712,0.4723531351356342,0.4785024962298184,0.1980122845170654,0.22827323235541727,2249,2657,2450.0,2064,,,
0.6,RGI60-01.16339,,11.375,-3.5094895287958114,91.46515415110458,26.062238795876514,0.6781984116581533,0.6826567531690715,0.38011795606359344,0.3668110275425126,1755,2772,2250.0,7947,,,
0.6,RGI60-01.16341,,1.776,-5.005453752181501,36.11838149061252,7.215805654956103,0.9107275570577138,0.911983090971893,0.8025737975344401,0.7837806671079042,1744,3081,2450.0,3194,,,
0.6,RGI60-01.16342,Donjek Glacier,447.996,-11.698298429319372,410.7385496913747,35.11096525473681,0.5715105299111339,0.5770969374609753,0.2710663498929903,0.2837527464464388,1000,4511,2650.0,67938,,,
0.6,RGI60-01.16343,,3.412,-1.900087260034904,89.39135993297528,47.045923528445314,0.44775047452470573,0.4539539272471701,0.18269857162671232,0.2159616626892677,1832,2527,2100.0,3677,,,
0.6,RGI60-01.16344,,1.212,-1.907177137870855,43.81126255534399,22.971784678718542,0.7159947898268699,0.719965451276692,0.4300579029092599,0.4078509552109363,1881,2496,2150.0,1983,,,
0.6,RGI60-01.16345,,1.161,-1.786649214659686,44.33101259210104,24.81237627865582,0.6934363260087781,0.6977017517462849,0.39940011339304826,0.38236599462770055,2148,2748,2400.0,1604,,,
0.6,RGI60-01.16346,,1.496,-2.864310645724258,38.488993279143116,13.437436800578222,0.8337549966491263,0.8360931010396185,0.636089185813654,0.6041830825570895,1896,2794,2300.0,1838,,,
0.6,RGI60-01.16348,,20.108,-4.778577661431065,117.15082885816723,24.515836543521505,0.6970621632990684,0.701280905368208,0.40415338191757594,0.38625514463208294,1826,3430,2500.0,8381,,,
0.6,RGI60-01.16350,,5.497,-2.360929319371728,80.87915382812373,34.25733805942427,0.5812029123107467,0.5867061834016222,0.279423880365671,0.289959964598568,2017,2889,2350.0,2883,,,
0.6,RGI60-01.16351,,4.364,-2.864310645724258,58.277407873084734,20.346050090648927,0.748337662981418,0.751869439944304,0.47879461032651527,0.45040385156825535,2046,3010,2450.0,5293,,,
0.6,RGI60-01.16352,,1.93,-5.232329842931937,42.21750035453078,8.068585433611386,0.9001771434570547,0.9015810649629276,0.7792726719580678,0.758286198674135,1812,3004,2550.0,2940,,,
0.6,RGI60-01.16355,,1.168,-4.034140488656195,38.835881765666194,9.626804489053066,0.8808991823865355,0.8825742484841721,0.7368628121633535,0.7120137210640014,1881,3081,2450.0,2396,,,
0.6,RGI60-01.16356,,1.874,-3.7576352530541013,50.178469945334875,13.353736210706245,0.8347905062037381,0.8371140318187251,0.6382264303665388,0.6064170836694951,1970,2807,2500.0,2636,,,
0.6,RGI60-01.16362,,1.61,-2.99901832460733,44.658757760808506,14.89112533737379,0.8157709771457449,0.8183617995356814,0.5997272337422387,0.5666702414448369,1977,2881,2400.0,1675,,,
0.6,RGI60-01.16363,,1.217,-2.2474912739965096,37.95218123212541,16.8864643307996,0.7910896320543213,0.7940269421137127,0.5524683474713227,0.519534023460665,1983,2786,2300.0,1503,,,
0.6,RGI60-01.16366,,1.446,-3.275523560209424,33.26652534066567,10.156094050057373,0.8743509227356616,0.8761180108324375,0.7225495337036024,0.696467363017848,1888,3230,2350.0,2446,,,
0.6,RGI60-01.16370,,4.536,-5.1827006980802794,73.12376231143031,14.109200312978913,0.8254442856922893,0.8278992307683104,0.619101894951508,0.5865372858886786,1619,3293,2350.0,5163,,,
0.6,RGI60-01.16371,,3.097,-1.8362783595113439,82.68951594016505,45.0310354701178,0.4669564878187039,0.4731208440785111,0.19457310051877882,0.2255399482542177,2091,2576,2350.0,2723,,,
0.6,RGI60-01.16374,,5.859,-2.162412739965096,86.98553051593673,40.226145965705314,0.515614168191545,0.5215830013739942,0.22739647615423894,0.25104204935164637,2145,2894,2450.0,3374,,,
0.6,RGI60-01.16376,,1.067,-1.2265488656195462,42.53115580862389,34.67546789270465,0.5764434272825842,0.5819870211141881,0.27528746836629336,0.2868875258135857,2477,3169,2650.0,1672,,,
0.6,RGI60-01.16377,Steele Glacier,254.841,-9.826570680628272,144.98645369392682,14.754532217403941,0.8174607616989531,0.8200277847195611,0.6030791762941743,0.5700864518237965,1164,5059,2550.0,44033,,,
0.6,RGI60-01.16381,,5.012,-4.012870855148342,58.20558859851483,14.504725095710356,0.820551144130073,0.8230747584281505,0.6092455613609927,0.5763943052443639,934,1938,1500.0,4027,,,
0.6,RGI60-01.16384,,4.28,-4.183027923211169,83.65995724350186,19.99985627140613,0.7526110306566532,0.7560839189017639,0.48567856425891226,0.45662104943118964,460,1964,1050.0,7079,,,
0.6,RGI60-01.16390,,1.426,-3.0344677137870857,40.348137963492505,13.296611389263093,0.835497232077676,0.8378108598028517,0.6396876260444212,0.6079461367623193,1272,2192,1700.0,2231,,,
0.6,RGI60-01.16391,,4.394,-2.679973821989529,69.88152247499372,26.07544965611487,0.6780377693435529,0.6824987782227426,0.3799206740688669,0.36665380455133834,972,2153,1350.0,4557,,,
0.6,RGI60-01.16392,,2.294,-4.835296684118673,47.264669448767066,9.774926449499132,0.8790666484533483,0.8807674969529403,0.7328509707944852,0.707651496694116,668,1952,1350.0,3011,,,
0.6,RGI60-01.16397,,1.091,-1.432155322862129,47.14000861536981,32.91543023501222,0.5966251318564607,0.601987875262299,0.29327204706094934,0.3002565847010821,1298,2057,1500.0,1895,,,
0.6,RGI60-01.16398,,1.558,-2.9139397905759163,68.7868502122803,23.60613298694313,0.7082067174501396,0.7122803787688738,0.4191772915300682,0.39869630633364916,1139,1846,1550.0,2759,,,
0.6,RGI60-01.16403,,3.611,-3.637107329842932,119.23015178243672,32.781587390654664,0.5981751949719111,0.6035232353804872,0.29470302848449786,0.3013224525780982,937,1780,1450.0,3859,,,
0.6,RGI60-01.16404,,1.959,-1.793739092495637,78.29523444534229,43.64917661264203,0.4805432116278158,0.4866664646499757,0.2033221853442275,0.23246098079291838,1097,1708,1350.0,2182,,,
0.6,RGI60-01.16410,,1.313,-1.900087260034904,70.76815266485379,37.24468562751892,0.5477192984277982,0.5534880018288081,0.25158939353311705,0.26925457275357056,1082,1884,1350.0,2422,,,
0.6,RGI60-01.16411,,4.536,-3.0840968586387434,77.28658311439241,25.059713315393445,0.6904149939640338,0.6947191370512955,0.3954886420379291,0.37918215160874924,1215,2310,1650.0,4346,,,
0.6,RGI60-01.16415,,1.887,-1.2407286212914486,52.183587544426,42.05882466877341,0.496590466518053,0.5026513236793015,0.2140580565817485,0.2408210204750623,1525,2015,1700.0,2041,,,
0.6,RGI60-01.16417,,3.278,-2.5239965095986037,101.4124828773926,40.17932770181225,0.5161074336033253,0.522074179825958,0.22775180789324015,0.2513124101671635,944,1796,1300.0,3638,,,
0.6,RGI60-01.16418,,1.866,-1.3470767888307156,87.22147748318243,64.74870490411469,0.3094000997937414,0.3152291058907028,0.1105442543224782,0.15067984837154438,1060,1657,1250.0,2779,,,
0.6,RGI60-01.16420,,1.384,-1.7724694589877836,63.19019605259041,35.65093645600916,0.5654295539322993,0.5710646493937495,0.2659514446570948,0.2799518307620092,1050,1561,1300.0,2042,,,
0.6,RGI60-01.16421,,5.935,-2.75087260034904,85.06926396846778,30.924465188854587,0.6198871982048837,0.6250184802185393,0.315550993395477,0.31692267150696296,812,1749,1200.0,4716,,,
0.6,RGI60-01.16424,,3.743,-2.37510907504363,106.89038858407552,45.00441251613338,0.46721507962125086,0.4733797738254627,0.19473706986284406,0.22567101471059411,815,1874,1150.0,4228,,,
0.6,RGI60-01.16425,,11.106,-4.906195462478185,135.61846003000556,27.642286384061606,0.6590580099958891,0.6637500683918832,0.3573999288845526,0.3489097568997633,758,2271,1450.0,10273,,,
0.6,RGI60-01.16429,,1.468,-2.4601876090750436,59.96482295564037,24.37408542927559,0.6987966552844483,0.7029931721473199,0.4064503571123833,0.38814257656892465,1153,1695,1500.0,1827,,,
0.6,RGI60-01.16430,,1.06,-1.5243237347294938,37.09917186373346,24.338118615149078,0.6992368791513497,0.703427863963253,0.4070357753495544,0.38862447895299335,1385,2041,1600.0,1441,,,
0.6,RGI60-01.16432,,1.123,-1.1698298429319371,50.99281424959134,43.58994135573459,0.4811330888930324,0.4872537064999349,0.20370879119048163,0.23276422676624028,1385,2234,1550.0,2251,,,
